0,0
356,3560
843,8430
437,4370
793,7930
306,3060
387,3870
743,7430
256,2560
206,2060
156,1560
106,1060
933,9330
883,8830
833,8330
783,7830
296,2960
602,6020
958,9580
471,4710
552,5520
908,9080
421,4210
858,8580
371,3710
321,3210
271,2710
221,2210
998,9980
948,9480
898,8980
536,5360
973,9730
486,4860
923,9230
436,4360
386,3860
336,3360
286,2860
651,6510
601,6010
551,5510
501,5010
14,140
451,4510
401,4010
89,890
170,1700
39,390
120,1200
716,7160
666,6660
616,6160
566,5660
79,790
516,5160
29,290
335,3350
691,6910
204,2040
285,2850
641,6410
154,1540
235,2350
104,1040
54,540
4,40
831,8310
781,7810
731,7310
681,6810
194,1940
631,6310
144,1440
500,5000
856,8560
937,9370
450,4500
806,8060
319,3190
400,4000
756,7560
269,2690
350,3500
706,7060
219,2190
300,3000
169,1690
119,1190
69,690
896,8960
846,8460
796,7960
971,9710
921,9210
434,4340
871,8710
384,3840
821,8210
334,3340
284,2840
234,2340
184,1840
961,9610
986,9860
499,4990
936,9360
449,4490
886,8860
399,3990
349,3490
299,2990
249,2490
68,680
18,180
614,6140
564,5640
514,5140
464,4640
414,4140
364,3640
233,2330
102,1020
183,1830
52,520
133,1330
2,20
83,830
679,6790
629,6290
579,5790
529,5290
42,420
835,8350
348,3480
704,7040
217,2170
298,2980
654,6540
167,1670
248,2480
604,6040
117,1170
198,1980
67,670
17,170
794,7940
744,7440
694,6940
513,5130
869,8690
950,9500
463,4630
819,8190
900,9000
413,4130
769,7690
282,2820
363,3630
719,7190
232,2320
313,3130
669,6690
182,1820
263,2630
132,1320
82,820
32,320
859,8590
809,8090
984,9840
934,9340
884,8840
397,3970
834,8340
347,3470
784,7840
297,2970
247,2470
197,1970
147,1470
974,9740
999,9990
949,9490
462,4620
899,8990
412,4120
849,8490
362,3620
312,3120
262,2620
81,810
31,310
577,5770
527,5270
964,9640
477,4770
427,4270
377,3770
733,7330
246,2460
683,6830
196,1960
65,650
146,1460
502,5020
15,150
96,960
452,4520
46,460
642,6420
592,5920
542,5420
411,4110
767,7670
848,8480
361,3610
717,7170
798,7980
311,3110
667,6670
261,2610
617,6170
130,1300
211,2110
567,5670
80,800
161,1610
30,300
707,7070
882,8820
963,9630
476,4760
832,8320
913,9130
426,4260
782,7820
863,8630
376,3760
732,7320
245,2450
326,3260
682,6820
195,1950
276,2760
632,6320
145,1450
95,950
45,450
947,9470
897,8970
978,9780
847,8470
797,7970
310,3100
747,7470
260,2600
697,6970
210,2100
160,1600
110,1100
466,4660
962,9620
912,9120
425,4250
862,8620
375,3750
812,8120
325,3250
275,2750
581,5810
94,940
44,440
977,9770
490,4900
927,9270
440,4400
746,7460
259,2590
615,6150
696,6960
209,2090
565,5650
646,6460
159,1590
515,5150
28,280
109,1090
465,4650
59,590
415,4150
9,90
605,6050
911,9110
861,8610
374,3740
730,7300
811,8110
324,3240
680,6800
761,7610
274,2740
630,6300
224,2240
580,5800
93,930
174,1740
530,5300
43,430
124,1240
480,4800
976,9760
845,8450
926,9260
439,4390
795,7950
876,8760
389,3890
745,7450
826,8260
695,6950
208,2080
645,6450
158,1580
595,5950
108,1080
58,580
8,80
910,9100
991,9910
860,8600
941,9410
810,8100
760,7600
273,2730
710,7100
223,2230
660,6600
173,1730
479,4790
429,4290
975,9750
925,9250
875,8750
388,3880
825,8250
338,3380
775,7750
288,2880
644,6440
157,1570
594,5940
107,1070
544,5440
57,570
7,70
990,9900
940,9400
453,4530
759,7590
628,6280
709,7090
222,2220
578,5780
659,6590
172,1720
528,5280
609,6090
122,1220
478,4780
72,720
428,4280
22,220
378,3780
924,9240
874,8740
824,8240
337,3370
693,6930
774,7740
287,2870
643,6430
724,7240
237,2370
593,5930
187,1870
543,5430
56,560
137,1370
493,4930
6,60
87,870
443,4430
212,2120
989,9890
939,9390
808,8080
889,8890
758,7580
839,8390
708,7080
789,7890
658,6580
171,1710
608,6080
121,1210
558,5580
71,710
21,210
327,3270
873,8730
823,8230
773,7730
723,7230
236,2360
673,6730
186,1860
492,4920
5,50
442,4420
392,3920
988,9880
938,9380
888,8880
838,8380
351,3510
657,6570
607,6070
557,5570
70,700
507,5070
20,200
226,2260
953,9530
822,8220
772,7720
722,7220
591,5910
672,6720
185,1850
541,5410
622,6220
135,1350
491,4910
572,5720
85,850
441,4410
35,350
391,3910
341,3410
60,600
887,8870
837,8370
787,7870
656,6560
737,7370
250,2500
606,6060
687,6870
200,2000
556,5560
150,1500
506,5060
19,190
100,1000
456,4560
50,500
406,4060
225,2250
175,1750
952,9520
902,9020
771,7710
852,8520
721,7210
802,8020
671,6710
752,7520
621,6210
134,1340
571,5710
84,840
521,5210
877,8770
390,3900
340,3400
290,2900
240,2400
836,8360
786,7860
736,7360
686,6860
199,1990
555,5550
992,9920
505,5050
455,4550
405,4050
355,3550
951,9510
901,9010
851,8510
670,6700
620,6200
570,5700
520,5200
33,330
470,4700
339,3390
420,4200
289,2890
239,2390
189,1890
785,7850
735,7350
685,6850
554,5540
635,6350
148,1480
504,5040
585,5850
98,980
454,4540
535,5350
48,480
404,4040
354,3540
304,3040
123,1230
73,730
23,230
850,8500
800,8000
750,7500
619,6190
700,7000
213,2130
569,5690
650,6500
163,1630
519,5190
600,6000
469,4690
419,4190
238,2380
188,1880
138,1380
965,9650
915,9150
865,8650
734,7340
815,8150
684,6840
765,7650
634,6340
715,7150
584,5840
97,970
890,8900
403,4030
840,8400
353,3530
303,3030
253,2530
203,2030
799,7990
749,7490
568,5680
518,5180
955,9550
468,4680
418,4180
368,3680
318,3180
914,9140
864,8640
633,6330
583,5830
533,5330
402,4020
483,4830
352,3520
433,4330
302,3020
383,3830
252,2520
202,2020
152,1520
748,7480
698,6980
648,6480
517,5170
598,5980
